ID	H_ALPHA_EQW	H_ALPHA_EQW_ERR	Age_yr	Age_yr_lo	Age_yr_hi	Age_Myr	Age_Myr_lo	Age_Myr_hi	Age_err_low_Myr	Age_err_high_Myr	flag_out_of_range
1	1962.20782	47.693468	2732435.19666753	2707071.9274779987	2756924.7507618098	2.73243519666753	2.707071927477999	2.7569247507618098	0.025363269189531135	0.024489554094279775	False
3	1353.829895	99.93296	3329748.722236726	3063036.883776487	3784533.688890839	3.329748722236726	3.063036883776487	3.784533688890839	0.26671183846023894	0.4547849666541133	False
7	731.576593	25.119602	4749914.248835455	4727054.639346419	4769792.1013663225	4.749914248835455	4.727054639346419	4.769792101366322	0.02285960948903565	0.01987785253086738	False
9	1647.968425	76.327848	2864445.9123639367	2839164.6537581016	2901774.834212856	2.8644459123639368	2.8391646537581017	2.9017748342128558	0.025281258605835077	0.037328921848919006	False
11	1195.835364	48.555429	3710740.0159904775	3835531.828488303	3248964.3459233134	3.7107400159904773	3.835531828488303	3.2489643459233135	-0.12479181249782556	-0.4617756700671638	False
13	1513.125699	125.841649	2959315.394623539	2867890.9756831643	3216726.026163291	2.959315394623539	2.8678909756831645	3.216726026163291	0.09142441894037434	0.2574106315397522	False
17	860.54486	41.677349	4570725.151558683	4504850.976001713	4635000.531828526	4.570725151558683	4.5048509760017135	4.635000531828527	0.06587417555696984	0.06427538026984347	False
19	524.531359	51.286857	4935497.675995438	4900898.478538282	4959718.963903875	4.935497675995438	4.9008984785382825	4.9597189639038755	0.03459919745715556	0.02422128790843736	False
21_1	386.934669	21.545259	5022433.849310216	4998860.148382367	5058522.761597566	5.022433849310215	4.9988601483823665	5.058522761597566	0.02357370092784894	0.036088912287350894	False
23_1	241.180551	13.255241	5779617.686346456	5666684.875846254	5858305.34122097	5.779617686346456	5.666684875846253	5.85830534122097	0.11293281050020276	0.07868765487451412	False
4	1341.011977	137.482501	3401333.7585950275	3015000.8931290973	3773707.7561879894	3.4013337585950274	3.0150008931290975	3.7737077561879895	0.38633286546592993	0.3723739975929621	False
8	1231.42866	165.217167	3906938.669216549	3193477.014656615	4131798.7011522036	3.906938669216549	3.193477014656615	4.131798701152204	0.7134616545599339	0.22486003193565463	False
10	534.887488	148.324346	4929728.645138238	4787734.879772084	5022936.739618797	4.929728645138238	4.787734879772084	5.022936739618797	0.14199376536615382	0.09320809448055911	False
12	1116.469045	691.811067	3166629.1017852146	2807646.874996584	4986006.546907158	3.166629101785215	2.8076468749965837	4.9860065469071575	0.3589822267886311	1.8193774451219427	False
14	1037.064498	161.951453	4218351.908639399	3737771.5185001763	4549745.482647283	4.2183519086393995	3.737771518500176	4.549745482647283	0.4805803901392234	0.3313935740078833	False
16	903.047062	158.408552	4503219.595423959	4145741.836701123	4738539.765955054	4.5032195954239596	4.145741836701123	4.738539765955054	0.3574777587228368	0.23532017053109477	False
21_2	576.740965	295.791962	4900040.826817617	4553548.026593795	5369935.363486035	4.900040826817617	4.553548026593795	5.369935363486035	0.3464928002238219	0.4698945366684182	False
25	1052.479261	1381.138475	4172692.3797082365	2454213.9022543915		4.172692379708237	2.4542139022543914		1.7184784774538455		True
27	202.500292	72.698706	6017871.742995429	5406595.836187679	6782348.226174555	6.017871742995429	5.406595836187679	6.7823482261745545	0.6112759068077498	0.7644764831791253	False
