ID,ID_MASK,RA,DEC,RA_rad,DEC_rad,r_arcsec,r_kpc,theta_deg
1,,49.5238337,-66.5067706,0.8643539562751257,-1.1607621218385646,68.98482415028,2.1772534898471982,116.40880813559293
2,,49.5185147,-66.5071851,0.8642611222122121,-1.1607693562283141,76.5155786428241,2.4149341928429098,114.86703258798276
3,,49.5586558,-66.5096822,0.8649617165725844,-1.1608129388450656,42.813982228581736,1.351266649870226,164.00929039677644
4,,49.5843346,-66.4786031,0.8654098961805455,-1.1602705062215093,75.03879608836272,2.368324956535486,340.4724174380688
5,,49.6018696,-66.4794242,0.8657159396648828,-1.1602848371199972,84.36252694820533,2.6625943962714707,323.43077922580994
6,,49.6583371,-66.4926456,0.8667014834602526,-1.1605155940817204,132.84381603720468,4.19272884484767,278.7337478992732
7,,49.6730708,-66.5019769,0.8669586350362537,-1.160678455990212,153.04366291992463,4.830263080261134,264.9698605598929
8,,49.6252067,-66.4847164,0.8661232488977499,-1.1603772034346713,96.88271526188484,3.0577483165035364,300.1775979440429
9,,49.5720754,-66.4789142,0.8651959327768851,-1.1602759359408121,70.008089317831,2.2095491097104323,353.87360815723116
10,,49.5779838,-66.4837372,0.8652990538104098,-1.1603601131706356,54.62585554676715,1.724065199702404,343.0162238329484
11,4_2,49.494755,-66.5519097,0.863846437217926,-1.1615499477549516,219.17140802975473,6.91734332710582,151.86159524803887
12,8_2,49.5117758,-66.5448411,0.8641435062192495,-1.1614265774114452,185.44412024271594,5.852864929981241,154.79285702272617
13,10_2,49.5042371,-66.544535,0.8640119310829293,-1.1614212349586048,189.3418493729565,5.975882484288666,151.69017128891463
14,12_2,49.5359116,-66.5419246,0.8645647553968523,-1.1613756748838109,163.39127768769484,5.15684766813575,164.23987161244676
15,15_2,49.4092479,-66.5237394,0.8623540567890939,-1.161058283268677,244.18635837543528,7.70684868004896,112.0933399362165
16,17_2,49.4138432,-66.5296027,0.862434259904211,-1.1611606171587092,246.99023864050218,7.795342898414027,117.22177448285844
17,23_2,49.4279515,-66.522978,0.86268049619107,-1.1610449943317522,218.40400458829873,6.893123046172857,114.07515139146774
19,27_2,49.4705125,-66.5347859,0.8634233257740113,-1.1612510810644987,190.88550890280112,6.024602447554333,133.59677579948612
20,29_2,49.4345504,-66.5294496,0.8627956687230798,-1.1611579450596246,220.68554099670848,6.965131392481055,120.62557834365053
