ID,mag_i,m_i0,sigma_m_i0,mag_g,m_g0,sigma_m_g0,Mag_i,sigma_M_i,logM,sigma_logM,age,age_err_high,age_err_low
1,17.06,16.71,0.01,16.76,16.13,0.01,-11.40,0.01,5.31,0.01,2.73,0.02,0.02
2,17.27,17.11,0.01,17.37,17.09,0.01,-11.00,0.01,5.54,0.01,3.33,0.46,0.24
3,17.04,16.77,0.01,17.26,16.77,0.01,-11.3,0.01,5.68,0.01,4.74,0.03,0.02
4,17.26,17.23,0.01,17.10,16.86,0.01,-10.89,0.01,5.25,0.01,2.87,0.04,0.03
5,17.21,16.79,0.01,17.01,16.32,0.01,-11.33,0.01,5.35,0.01,3.65,0.19,0.33
6,17.50,17.16,0.01,17.11,16.82,0.01,-10.96,0.01,5.30,0.01,2.99,0.23,0.11
7,19.00,18.57,0.01,18.92,18.34,0.01,-9.54,0.01,4.80,0.01,4.57,0.06,0.07
8,18.05,17.87,0.01,18.06,17.74,0.01,-10.24,0.01,5.15,0.01,4.93,0.03,0.03
9,17.26,16.63,0.01,17.59,16.52,0.01,-11.48,0.01,5.67,0.01,5.03,0.04,0.03
10,17.22,17.14,0.01,17.55,17.37,0.01,-10.98,0.01,5.70,0.01,5.77,0.09,0.11
11,18.91,18.43,0.01,18.98,18.15,0.01,-9.68,0.01,4.83,0.01,3.40,0.3,0.35
12,19.32,18.92,0.01,19.31,18.65,0.01,-9.19,0.01,4.63,0.01,3.88,0.25,0.68
13,19.07,18.94,0.01,18.81,18.82,0.01,-9.17,0.01,4.74,0.01,4.93,0.1,0.14
14,20.02,19.74,0.01,20.72,20.16,0.01,-8.37,0.01,4.79,0.01,3.25,1.74,0.44
15,18.95,18.54,0.01,18.65,18.08,0.01,-9.58,0.01,4.66,0.01,4.22,0.33,0.55
16,19.43,19.17,0.01,19.34,18.85,0.01,-8.94,0.01,4.50,0.01,4.50,0.23,0.35
17,18.56,18.62,0.01,18.88,18.78,0.01,-9.49,0.01,5.06,0.01,4.90,0.48,0.35
19,20.07,19.81,0.01,20.09,19.90,0.01,-8.30,0.01,4.53,0.01,4.17,21.93,4.17
20,20.24,19.97,0.01,20.10,19.74,0.01,-8.14,0.01,4.24,0.01,6.02,0.76,0.61
